Categorie: Toate categoriile

Țară,bitcoin: (29.03.2020 – 29.03.2025)
El Salvador,100
Nigeria,66
Liechtenstein,
Elveția,47
Insulele Caraibe Olandeze,
Bhutan,
Țările de Jos,45
Curaçao,
Slovenia,44
Austria,43
Insulele Cayman,
Namibia,
Germania,36
Kosovo,
Insulele Feroe,
Andorra,
Luxemburg,
Bermuda,
Cipru,32
Singapore,32
Turcia,32
Canada,31
Sfânta Elena,
Gibraltar,
Sfântul Martin,
Sint-Maarten,
Benin,
Jersey,
Cehia,28
Saint Kitts și Nevis,
Islanda,
Belgia,26
Aruba,
Australia,26
Malta,
Insula Man,
Irlanda,25
Brazilia,25
Estonia,
Svalbard și Jan Mayen,
Camerun,
Ghana,24
Insulele Åland,
Albania,
Spania,22
Noua Zeelandă,22
Macedonia de Nord,
Finlanda,22
Madagascar,
Africa de Sud,22
Insulele Turks și Caicos,
Togo,
Guam,
Slovacia,21
Botswana,
Croația,21
Emiratele Arabe Unite,21
Suedia,21
Guernsey,
Antigua și Barbuda,
Statele Unite ale Americii,20
Regatul Unit,20
Norvegia,20
Portugalia,19
Papua-Noua Guinee,
Polinezia Franceză,
Bahamas,
Maldive,
Insulele Falkland (Insulele Malvine),
Insulele Virgine Britanice,
Kenya,17
Eritreea,
Liban,
Pakistan,16
Hong Kong,16
Burundi,
Côte d’Ivoire,
Barbados,
Polonia,15
Eswatini,
Argentina,15
Cuba,
Zimbabwe,
Italia,15
Anguilla,
România,15
Palau,
Insulele Virgine Americane,
Seychelles,
Lituania,14
Bahrain,
Etiopia,
San Marino,
Noua Caledonie,
Bulgaria,14
Letonia,
Venezuela,14
Trinidad și Tobago,
Insulele Mariane de Nord,
Saint-Pierre și Miquelon,
Kiribati,
Burkina Faso,
Mauritius,
Lesotho,
Danemarca,13
Suriname,
Somalia,
Franța,13
Panama,
Costa Rica,
Mongolia,
China,
Malaysia,13
Sfânta Lucia,
Georgia,
Israel,12
Columbia,12
Capul Verde,
Grenada,
Montserrat,
Grecia,12
Qatar,
Ungaria,12
Macao,
Bosnia și Herțegovina,
Armenia,
Rwanda,
Brunei,
Insulele Cook,
Gambia,
Republica Centrafricană,
Serbia,10
Groenlanda,
Uruguay,
Afganistan,
Nepal,
Muntenegru,
Insulele Solomon,
Jamaica,
Belize,
Guyana Franceză,
Cambodgia,
Republica Dominicană,10
Insulele Marshall,
Dominica,
Vanuatu,
Réunion,
Saint Vincent și Grenadinele,
Laos,
Guadelupa,
Paraguay,
Sri Lanka,
Vietnam,9
Djibouti,
Filipine,9
Guineea Ecuatorială,
India,9
Fiji,
Tunisia,
Maroc,8
Kuweit,
Martinica,
Chile,8
Republica Moldova,
Mexic,8
Azerbaidjan,
Zambia,
Thailanda,8
Tanzania,
Guineea-Bissau,
Niger,
Uganda,
Turkmenistan,
Angola,
Peru,7
Congo - Brazzaville,
Guyana,
Puerto Rico,
Sudanul de Sud,
Senegal,
Haiti,
Sahara Occidentală,
Liberia,
Honduras,
Saint-Barthélemy,
Samoa Americană,
Guatemala,
Mayotte,
São Tomé și Príncipe,
Sierra Leone,
Ecuador,6
Myanmar (Birmania),
Malawi,
Oman,
Mozambic,
Gabon,
Bolivia,
Iordania,
Tonga,
Nicaragua,
Indonezia,6
Guineea,
Bangladesh,5
Mauritania,
Uzbekistan,
Samoa,
Coreea de Sud,5
Mali,
Palestina,
Ciad,
Congo - Kinshasa,
Arabia Saudită,4
Algeria,
Micronezia,
Comore,
Rusia,3
Irak,
Iran,3
Siria,
Ucraina,3
Egipt,3
Libia,
Timor-Leste,
Sudan,
Kârgâzstan,
Tadjikistan,
Taiwan,2
Kazahstan,
Yemen,
Belarus,
Japonia,<1
Tokelau,
Insulele Îndepărtate ale S.U.A.,
Insula Bouvet,
Insula Norfolk,
Tuvalu,
Statul Cetății Vaticanului,
Insulele Cocos (Keeling),
Monaco,
Niue,
Nauru,
Insula Christmas,
Teritoriile Australe și Antarctice Franceze,
Wallis și Futuna,
Insulele Pitcairn,
Antarctica,
Coreea de Nord,
Teritoriul Britanic din Oceanul Indian,
Georgia de Sud și Insulele Sandwich de Sud,
Insula Heard și Insulele McDonald,
